Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1648837800000,46337.80,46375.10,46337.70,46350.20,66.073,1648837859999,3062998.74472,1144,38.957,1805883.89292,0
1648837860000,46350.20,46350.20,46316.70,46335.30,139.207,1648837919999,6450073.41480,1350,50.905,2358802.07130,0
1648837920000,46335.30,46374.90,46335.30,46370.90,99.914,1648837979999,4632370.70440,947,61.111,2833357.46340,0
1648837980000,46370.90,46370.90,46324.40,46335.10,45.990,1648838039999,2131291.62290,727,18.246,845503.47020,0
1648838040000,46335.00,46363.70,46331.50,46359.80,179.867,1648838099999,8337108.47270,1050,142.630,6611058.83260,0
1648838100000,46359.90,46364.80,46324.00,46336.40,54.251,1648838159999,2514387.39450,792,25.592,1186111.01080,0
1648838160000,46336.40,46338.80,46280.00,46286.20,108.191,1648838219999,5009129.57170,1304,35.635,1649798.38790,0
1648838220000,46286.10,46286.20,46259.10,46272.50,71.327,1648838279999,3300399.29950,1106,32.139,1487099.64530,0
1648838280000,46272.40,46300.00,46251.90,46264.00,114.967,1648838339999,5320338.81680,1329,64.147,2968677.57220,0
1648838340000,46263.90,46287.30,46244.00,46287.30,183.555,1648838399999,8491986.22568,1421,125.547,5808549.41490,0
1648838400000,46287.20,46301.40,46244.50,46293.90,113.925,1648838459999,5272825.78380,1334,77.035,3565675.33070,0
1648838460000,46293.90,46316.10,46280.00,46302.00,106.370,1648838519999,4924480.56750,1075,47.950,2220137.80050,0
1648838520000,46302.00,46302.00,46255.60,46277.80,73.075,1648838579999,3381440.31140,938,22.552,1043475.87800,0
1648838580000,46277.70,46303.00,46277.70,46300.00,34.827,1648838639999,1612270.83520,617,22.023,1019476.98940,0
1648838640000,46300.10,46313.10,46283.60,46286.50,46.804,1648838699999,2167179.93950,704,29.748,1377497.95050,0
1648838700000,46286.50,46310.50,46286.50,46296.10,51.366,1648838759999,2378338.21540,829,29.101,1347398.20450,0
1648838760000,46296.10,46297.10,46256.30,46264.90,112.448,1648838819999,5203642.24430,1073,38.299,1772467.28840,0
1648838820000,46264.90,46297.80,46258.50,46288.80,49.351,1648838879999,2283654.31360,839,18.172,841021.47290,0
1648838880000,46288.80,46297.90,46278.20,46297.80,52.643,1648838939999,2436745.97310,721,22.566,1044588.15540,0
1648838940000,46297.80,46308.00,46270.00,46270.00,62.495,1648838999999,2893089.47630,815,27.871,1290342.64230,0
1648839000000,46268.50,46281.00,46220.70,46225.70,149.524,1648839059999,6914728.20453,1871,41.172,1904255.76610,0
1648839060000,46225.70,46286.70,46225.30,46286.70,136.502,1648839119999,6314596.55550,1286,101.433,4692486.13470,0
1648839120000,46286.70,46341.50,46286.60,46312.70,225.955,1648839179999,10466534.67364,1674,189.762,8790105.03854,0
1648839180000,46312.80,46320.00,46271.90,46283.00,202.356,1648839239999,9367178.11660,1362,23.775,1100648.75520,0
1648839240000,46283.10,46298.40,46281.40,46298.40,22.431,1648839299999,1038254.72020,579,9.192,425463.37530,0
1648839300000,46298.40,46329.80,46298.30,46329.80,49.197,1648839359999,2278302.51270,818,34.978,1619866.65290,0
1648839360000,46329.10,46355.70,46316.30,46347.60,167.311,1648839419999,7753331.18790,1255,137.861,6388773.25110,0
1648839420000,46347.60,46348.30,46319.90,46320.00,237.695,1648839479999,11013562.30230,1555,181.602,8414581.28100,0
1648839480000,46320.00,46336.30,46310.30,46314.20,112.772,1648839539999,5223969.63800,874,16.644,770938.26910,0
1648839540000,46314.20,46349.70,46310.30,46321.40,96.091,1648839599999,4451318.16990,755,29.317,1358166.96690,0
1648839600000,46321.40,46358.40,46313.10,46358.40,71.995,1648839659999,3335715.84610,929,57.860,2680873.06090,0
1648839660000,46356.60,46377.30,46355.10,46360.40,120.742,1648839719999,5598487.61517,1433,84.582,3921848.70987,0
1648839720000,46360.40,46380.00,46340.20,46340.30,73.927,1648839779999,3427274.08550,1064,43.314,2008015.95640,0
1648839780000,46340.30,46340.30,46282.20,46292.00,122.938,1648839839999,5691923.99094,1285,43.785,2027020.59390,0
1648839840000,46292.10,46301.90,46256.00,46260.90,138.382,1648839899999,6404336.23590,1030,21.335,987372.75870,0
1648839900000,46260.90,46298.90,46260.90,46285.50,47.319,1648839959999,2190071.90980,799,35.092,1624182.59070,0
1648839960000,46285.60,46303.90,46285.60,46292.70,63.013,1648840019999,2917160.22800,913,43.507,2014115.28920,0
1648840020000,46292.80,46378.60,46292.70,46340.00,178.112,1648840079999,8252649.54385,1647,141.546,6557705.41805,0
1648840080000,46340.10,46340.10,46271.20,46281.70,141.925,1648840139999,6570609.01104,1201,35.964,1665264.05510,0
1648840140000,46281.70,46285.80,46250.80,46253.20,75.731,1648840199999,3503400.38330,961,23.674,1095218.10130,0
1648840200000,46253.20,46269.60,46253.20,46269.40,81.631,1648840259999,3776255.58630,774,61.560,2847690.51100,0
1648840260000,46269.50,46278.70,46232.20,46244.50,102.443,1648840319999,4738200.96351,1141,44.004,2035602.25500,0
1648840320000,46244.50,46250.10,46231.10,46231.20,52.175,1648840379999,2412779.15590,723,18.384,850199.49000,0
1648840380000,46231.20,46260.20,46231.00,46247.40,60.887,1648840439999,2815633.60070,819,30.654,1417569.89000,0
1648840440000,46247.50,46281.50,46247.40,46252.10,119.132,1648840499999,5511789.44280,1214,84.664,3916875.66900,0
1648840500000,46252.10,46276.70,46252.00,46263.60,54.303,1648840559999,2512542.09890,788,37.256,1723809.53270,0
1648840560000,46263.60,46282.90,46251.00,46251.00,60.586,1648840619999,2803058.97280,720,15.631,723295.66520,0
1648840620000,46251.10,46251.10,46223.70,46234.60,70.997,1648840679999,3282282.08930,889,31.907,1475109.44110,0
1648840680000,46234.60,46234.60,46188.60,46188.70,293.461,1648840739999,13559598.19617,2551,36.413,1682495.73030,0
1648840740000,46190.10,46194.80,46123.80,46131.50,504.223,1648840799999,23274935.17602,4556,169.864,7840901.93310,0
1648840800000,46131.50,46180.00,46111.00,46173.20,158.891,1648840859999,7334120.49614,1947,62.138,2868456.92900,0
1648840860000,46173.30,46197.80,46167.30,46167.50,175.070,1648840919999,8084880.74040,1409,82.763,3822367.01640,0
1648840920000,46167.50,46219.30,46167.50,46174.20,280.538,1648840979999,12960135.09620,1611,160.411,7411234.65560,0
1648840980000,46174.20,46189.90,46155.30,46189.90,71.143,1648841039999,3284759.27000,1046,43.430,2005312.62700,0
1648841040000,46189.90,46214.80,46170.00,46171.20,237.282,1648841099999,10960062.70080,1363,95.986,4433811.93480,0
1648841100000,46171.30,46194.00,46167.30,46180.60,87.283,1648841159999,4030414.66670,1108,48.785,2252742.30070,0
1648841160000,46180.60,46180.60,46159.00,46170.30,46.702,1648841219999,2156212.39750,707,16.632,767890.67540,0
1648841220000,46170.40,46181.30,46162.10,46170.30,50.412,1648841279999,2327575.20670,569,39.604,1828544.39050,0
1648841280000,46170.30,46170.40,46155.40,46162.60,56.244,1648841339999,2596483.81830,753,27.879,1287017.22830,0
1648841340000,46162.60,46184.90,46162.50,46176.20,54.805,1648841399999,2530645.10570,869,40.177,1855190.18990,0
1648841400000,46176.20,46226.10,46154.20,46221.30,95.517,1648841459999,4411956.99700,1124,54.219,2505033.01820,0
1648841460000,46221.30,46260.90,46182.10,46198.70,212.198,1648841519999,9810297.45961,1829,163.039,7537720.08381,0
1648841520000,46198.70,46198.70,46152.00,46153.30,63.861,1648841579999,2948441.04982,926,17.600,812604.16320,0
1648841580000,46153.20,46167.40,46124.10,46135.30,96.348,1648841639999,4445743.86020,1081,18.919,872984.89680,0
1648841640000,46135.30,46158.00,46133.00,46133.10,86.463,1648841699999,3990122.58970,994,34.607,1597061.54600,0
1648841700000,46133.10,46177.40,46133.00,46170.20,112.292,1648841759999,5183314.40670,1036,63.024,2909184.10670,0
1648841760000,46170.30,46170.30,46138.10,46161.40,35.981,1648841819999,1660764.59510,665,18.638,860190.56760,0
1648841820000,46161.40,46164.80,46135.80,46144.10,35.629,1648841879999,1644508.48450,536,15.834,730851.53810,0
1648841880000,46144.00,46173.30,46136.80,46172.00,59.719,1648841939999,2755924.08670,794,43.817,2021984.08140,0
1648841940000,46172.10,46173.00,46137.90,46141.80,65.776,1648841999999,3035926.89870,859,20.719,956270.35940,0
1648842000000,46138.90,46171.80,46138.80,46162.70,185.808,1648842059999,8576524.49160,1493,62.906,2903586.17040,0
1648842060000,46162.60,46167.30,46133.30,46157.50,63.104,1648842119999,2911941.19890,791,33.355,1539232.48660,0
1648842120000,46157.50,46187.20,46157.50,46183.70,77.821,1648842179999,3593448.07190,1133,42.479,1961430.20710,0
1648842180000,46183.80,46183.80,46160.00,46160.00,36.573,1648842239999,1688640.13950,612,23.845,1100953.27720,0
1648842240000,46160.00,46166.00,46151.00,46155.70,40.019,1648842299999,1847314.99220,653,26.286,1213366.12050,0
1648842300000,46155.60,46166.80,46124.40,46153.00,109.642,1648842359999,5059670.53140,1223,53.142,2452264.19050,0
1648842360000,46152.90,46184.80,46152.20,46178.20,95.584,1648842419999,4413430.14610,1127,61.690,2848555.02630,0
1648842420000,46178.30,46197.00,46162.60,46192.60,88.790,1648842479999,4100858.73150,1074,73.132,3377755.33510,0
1648842480000,46193.10,46251.80,46192.00,46233.70,172.560,1648842539999,7976634.72683,1659,147.715,6828078.66113,0
1648842540000,46233.80,46306.80,46233.70,46275.40,336.513,1648842599999,15574329.78812,2535,236.615,10950671.09872,0
1648842600000,46274.50,46319.90,46273.60,46300.10,434.698,1648842659999,20128465.42699,2738,262.645,12161357.29999,0
1648842660000,46300.10,46357.30,46295.70,46334.00,191.502,1648842719999,8872904.68410,1844,129.988,6022266.38350,0
1648842720000,46334.00,46342.60,46276.80,46301.20,174.216,1648842779999,8068472.85880,1631,68.211,3159104.04190,0
1648842780000,46301.20,46345.80,46297.60,46317.70,148.704,1648842839999,6888173.47330,1225,100.658,4662504.98300,0
1648842840000,46317.60,46365.20,46300.00,46349.00,280.124,1648842899999,12978032.78193,1986,177.863,8240225.75683,0
1648842900000,46349.00,46354.30,46326.70,46344.20,77.108,1648842959999,3573147.73590,1088,50.848,2356236.07550,0
1648842960000,46344.30,46354.20,46304.80,46353.60,283.590,1648843019999,13138585.02690,1723,139.923,6483369.98160,0
1648843020000,46354.00,46355.00,46320.00,46331.50,81.745,1648843079999,3788204.16400,815,29.881,1384717.44350,0
1648843080000,46331.60,46348.10,46320.00,46343.40,59.192,1648843139999,2742364.03220,803,20.677,957994.05660,0
1648843140000,46343.40,46359.50,46324.70,46349.40,87.922,1648843199999,4074340.14900,1090,43.223,2002975.68010,0
1648843200000,46349.50,46349.50,46294.10,46294.10,123.503,1648843259999,5720333.46080,1553,26.366,1221398.77800,0
1648843260000,46294.10,46324.60,46266.10,46320.20,232.808,1648843319999,10775646.87500,2052,70.586,3267465.81980,0
1648843320000,46320.20,46320.30,46303.20,46312.80,49.582,1648843379999,2296200.23350,769,30.245,1400645.87690,0
1648843380000,46312.70,46312.80,46280.00,46299.90,80.338,1648843439999,3719028.69040,1005,38.509,1782615.54220,0
1648843440000,46299.90,46332.10,46293.00,46311.30,56.458,1648843499999,2614778.33420,1030,28.214,1306703.57130,0
1648843500000,46311.20,46311.20,46290.10,46295.30,36.513,1648843559999,1690408.54050,822,14.209,657842.65580,0
1648843560000,46295.40,46310.00,46270.60,46288.70,77.295,1648843619999,3577591.32040,1001,36.622,1694897.49410,0
1648843620000,46289.50,46298.40,46287.00,46294.40,24.608,1648843679999,1139197.35280,664,7.297,337795.33930,0
1648843680000,46294.40,46318.40,46288.30,46314.20,54.468,1648843739999,2522160.16510,903,27.803,1287481.78270,0
1648843740000,46314.20,46314.90,46306.30,46314.80,36.435,1648843799999,1687371.40460,631,15.931,737815.97570,0
1648843800000,46314.90,46319.60,46286.40,46318.60,36.459,1648843859999,1688153.44140,845,14.817,686105.38820,0
1648843860000,46318.60,46355.00,46315.30,46348.10,155.742,1648843919999,7216957.02360,1379,116.557,5401219.37820,0
1648843920000,46348.10,46348.20,46288.40,46288.40,122.658,1648843979999,5680501.68410,1307,23.539,1090105.70510,0
1648843980000,46288.40,46288.40,46263.30,46267.90,94.005,1648844039999,4349804.24150,1149,33.340,1542715.58020,0
1648844040000,46267.90,46277.40,46252.30,46253.10,134.677,1648844099999,6230420.59380,1381,31.653,1464424.40020,0
1648844100000,46253.10,46294.50,46253.10,46292.20,50.743,1648844159999,2348213.44400,1077,24.901,1152269.79570,0
1648844160000,46293.80,46310.70,46290.30,46310.70,46.226,1648844219999,2140289.21670,839,31.025,1436486.77160,0
1648844220000,46310.60,46310.70,46278.10,46297.90,30.374,1648844279999,1406430.12820,701,10.285,476276.76280,0
1648844280000,46297.90,46300.00,46281.60,46288.60,26.538,1648844339999,1228486.07590,667,11.043,511178.12770,0
1648844340000,46288.50,46299.80,46275.60,46299.80,33.347,1648844399999,1543544.51900,695,15.413,713475.62140,0
1648844400000,46299.70,46361.10,46299.70,46359.70,159.009,1648844459999,7367944.67590,1299,130.360,6040606.14140,0
1648844460000,46359.60,46368.00,46333.80,46339.00,93.606,1648844519999,4338875.83052,1366,35.462,1643803.31242,0
1648844520000,46339.00,46339.00,46309.20,46309.20,78.953,1648844579999,3657091.99870,862,12.446,576544.92020,0
1648844580000,46309.20,46333.30,46273.40,46287.40,101.088,1648844639999,4681203.33070,1108,74.902,3468809.67160,0
1648844640000,46287.40,46287.40,46241.20,46241.30,112.815,1648844699999,5218676.37421,1275,28.614,1323685.39690,0
1648844700000,46241.20,46262.10,46241.20,46250.80,74.042,1648844759999,3424623.74620,951,50.068,2315753.22030,0
1648844760000,46250.80,46267.40,46239.60,46261.90,60.885,1648844819999,2816008.96590,971,21.287,984594.99950,0
1648844820000,46261.90,46289.50,46261.90,46289.50,43.434,1648844879999,2009926.22740,721,32.159,1488202.88820,0
1648844880000,46289.40,46289.60,46270.90,46277.60,36.780,1648844939999,1702247.82910,740,14.826,686172.05630,0
1648844940000,46277.50,46284.10,46271.20,46271.20,36.085,1648844999999,1669965.13050,669,7.576,350616.79950,0
1648845000000,46271.20,46281.70,46263.40,46269.20,48.162,1648845059999,2228595.22490,640,8.506,393596.02510,0
1648845060000,46269.20,46286.20,46263.50,46286.20,20.279,1648845119999,938359.99640,495,8.567,396447.50050,0
1648845120000,46286.20,46322.50,46285.90,46292.10,91.830,1648845179999,4252070.25224,906,48.701,2254878.21544,0
1648845180000,46292.00,46292.00,46265.30,46279.10,84.911,1648845239999,3929450.48960,723,33.140,1533631.88290,0
1648845240000,46279.00,46300.70,46279.00,46290.90,50.296,1648845299999,2328229.97610,615,11.565,535374.71310,0
1648845300000,46290.90,46311.00,46290.90,46308.60,53.139,1648845359999,2460598.51130,548,37.039,1715061.81080,0
1648845360000,46308.60,46332.80,46305.00,46320.90,52.324,1648845419999,2423632.89370,645,43.468,2013383.76500,0
1648845420000,46320.80,46323.70,46315.60,46320.80,31.388,1648845479999,1453885.71850,498,18.197,842874.17570,0
1648845480000,46320.70,46320.80,46283.80,46285.10,104.676,1648845539999,4846645.78930,656,15.210,704321.93950,0
1648845540000,46285.10,46300.00,46284.10,46286.00,67.795,1648845599999,3138250.14260,560,29.222,1352798.72020,0
1648845600000,46286.10,46306.50,46286.00,46302.90,21.856,1648845659999,1011830.91580,540,14.664,678854.25660,0
1648845660000,46302.80,46332.80,46302.80,46332.80,27.812,1648845719999,1288128.38220,480,21.488,995223.85640,0
1648845720000,46332.80,46354.80,46332.70,46348.40,75.317,1648845779999,3490857.23640,813,54.236,2513744.95570,0
1648845780000,46348.40,46348.40,46280.00,46282.40,88.489,1648845839999,4097407.07190,903,15.130,700533.90110,0
1648845840000,46282.40,46282.40,46192.80,46195.80,228.020,1648845899999,10541112.90713,2011,46.151,2133531.47950,0
1648845900000,46195.80,46264.40,46181.00,46196.10,176.466,1648845959999,8154990.66911,2090,84.778,3918570.26450,0
1648845960000,46196.10,46196.10,46174.40,46189.80,69.342,1648846019999,3202441.26756,1118,30.678,1416804.30160,0
1648846020000,46189.90,46208.90,46056.60,46101.10,605.262,1648846079999,27912441.05694,5946,184.605,8516673.95790,0
1648846080000,46101.00,46125.10,46094.20,46112.40,169.733,1648846139999,7826692.37540,1706,106.365,4904749.66310,0
1648846140000,46112.50,46116.70,46087.00,46105.50,61.604,1648846199999,2840413.03410,888,27.006,1245200.92190,0
1648846200000,46105.40,46125.20,46091.80,46119.10,95.308,1648846259999,4394659.17380,1172,60.801,2803679.48760,0
1648846260000,46119.10,46123.70,46114.90,46115.20,44.396,1648846319999,2047506.61870,734,25.047,1155159.61250,0
1648846320000,46115.30,46143.80,46115.20,46137.00,85.174,1648846379999,3929403.68670,937,70.790,3265812.05340,0
1648846380000,46137.00,46139.70,46081.00,46082.20,122.009,1648846439999,5626236.35110,1193,40.927,1887617.69210,0
1648846440000,46082.30,46130.30,46082.00,46096.90,54.736,1648846499999,2523605.37660,878,27.811,1282277.33940,0
1648846500000,46097.00,46131.00,46096.00,46131.00,48.428,1648846559999,2233200.07170,873,21.754,1003134.97060,0
